state_name,state_name_slug,state_code,state_code_slug,district,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,gender,ethnicity,religion,date_of_birth,entered_office,term_end,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Illinois,illinois,IL,il,16,representative,republican,Adam Kinzinger,adam-kinzinger,Adam,,Kinzinger,,,male,white-american,protestant,2/27/1978,1/5/2011,1/3/2023,https://kinzinger.house.gov,https://kinzinger.house.gov/contact,https://facebook.com/RepKinzinger,RepKinzinger,https://twitter.com/RepKinzinger,https://cdn.civil.services/us-house/headshots/512x512/adam-kinzinger.jpg
California,california,CA,ca,28,representative,democrat,Adam Schiff,adam-schiff,Adam,,Schiff,,,male,white-american,jewish,6/22/1960,1/3/2001,1/3/2023,https://schiff.house.gov,https://schiff.house.gov/contact,https://facebook.com/RepAdamSchiff,RepAdamSchiff,https://twitter.com/RepAdamSchiff,https://cdn.civil.services/us-house/headshots/512x512/adam-schiff.jpg
Washington,washington,WA,wa,9,representative,democrat,Adam Smith,adam-smith,Adam,,Smith,,,male,white-american,christian,6/15/1965,1/7/1997,1/3/2023,https://adamsmith.house.gov,https://adamsmith.house.gov/contact/email-me,https://facebook.com/RepAdamSmith,RepAdamSmith,https://twitter.com/RepAdamSmith,https://cdn.civil.services/us-house/headshots/512x512/adam-smith.jpg
Nebraska,nebraska,NE,ne,3,representative,republican,Adrian Smith,adrian-smith,Adrian,,Smith,,,male,white-american,christian,12/19/1970,1/4/2007,1/3/2023,https://adriansmith.house.gov,https://adriansmith.house.gov/contact-me/email-me,https://facebook.com/HouseRepublicans,RepAdrianSmith,https://twitter.com/RepAdrianSmith,https://cdn.civil.services/us-house/headshots/512x512/adrian-smith.jpg
New York,new-york,NY,ny,13,representative,democrat,Adriano Espaillat,adriano-espaillat,Adriano,,Espaillat,,,male,hispanic-american,roman-catholic,9/27/1954,1/3/2017,1/3/2023,https://espaillat.house.gov,https://espaillat.house.gov/contact/email,https://facebook.com/RepEspaillat,RepEspaillat,https://twitter.com/RepEspaillat,https://cdn.civil.services/us-house/headshots/512x512/adriano-espaillat.jpg
Texas,texas,TX,tx,9,representative,democrat,Al Green,al-green,Al,,Green,,,male,african-american,southern-baptist,9/1/1947,1/4/2005,1/3/2023,https://algreen.house.gov,https://algreen.house.gov/contact-me/email-me,https://facebook.com/Congressman-Al-Green-224027854297805,RepAlGreen,https://twitter.com/RepAlGreen,https://cdn.civil.services/us-house/headshots/512x512/al-green.jpg
Florida,florida,FL,fl,5,representative,democrat,Al Lawson,al-lawson,Al,,Lawson,,,male,african-american,episcopalian,9/21/1948,1/3/2017,1/3/2023,https://lawson.house.gov,https://lawson.house.gov/contact/email,https://facebook.com/AlLawsonJr,RepAlLawsonJr,https://twitter.com/allawsonjr,https://cdn.civil.services/us-house/headshots/512x512/al-lawson.jpg
California,california,CA,ca,47,representative,democrat,Alan Lowenthal,alan-lowenthal,Alan,,Lowenthal,,,male,white-american,jewish,3/8/1941,1/3/2013,1/3/2023,https://lowenthal.house.gov,https://lowenthal.house.gov/contact/howtocontactme.htm,https://facebook.com/RepLowenthal,RepLowenthal,https://twitter.com/RepLowenthal,https://cdn.civil.services/us-house/headshots/512x512/alan-lowenthal.jpg
New Jersey,new-jersey,NJ,nj,8,representative,democrat,Albio Sires,albio-sires,Albio,,Sires,,,male,hispanic-american,roman-catholic,1/26/1951,11/13/2006,1/3/2023,https://sires.house.gov,https://sires.house.gov/contact/email,https://facebook.com/RepAlbioSires,RepSires,https://twitter.com/RepSires,https://cdn.civil.services/us-house/headshots/512x512/albio-sires.jpg
Florida,florida,FL,fl,20,representative,democrat,Alcee Hastings,alcee-hastings,Alcee,L.,Hastings,,,male,african-american,african-methodist,9/5/1936,1/5/1993,1/3/2023,https://alceehastings.house.gov,https://alceehastings.house.gov/contact,https://facebook.com/RepHastingsFL,RepHastingsFL,https://twitter.com/RepHastingsFL,https://cdn.civil.services/us-house/headshots/512x512/alcee-hastings.jpg
West Virginia,west-virginia,WV,wv,2,representative,republican,Alex Mooney,alex-mooney,Alex,,Mooney,,,male,hispanic-american,roman-catholic,6/5/1971,1/6/2015,1/3/2023,https://mooney.house.gov,https://mooney.house.gov/contact/email,https://facebook.com/CongressmanAlexMooney,RepAlexMooney,https://twitter.com/RepAlexMooney,https://cdn.civil.services/us-house/headshots/512x512/alex-mooney.jpg
North Carolina,north-carolina,NC,nc,12,representative,democrat,Alma Adams,alma-adams,Alma,,Adams,,,female,african-american,baptist,5/27/1946,11/12/2014,1/3/2023,https://adamsforms.house.gov,https://adamsforms.house.gov/contact,https://facebook.com/CongresswomanAdams,RepAdams,https://twitter.com/RepAdams,https://cdn.civil.services/us-house/headshots/512x512/alma-adams.jpg
California,california,CA,ca,7,representative,democrat,Ami Bera,ami-bera,Ami,,Bera,,,male,asian-american,unitarian-universalist,3/2/1965,1/3/2013,1/3/2023,https://bera.house.gov,https://bera.house.gov/connect-with-me/email-ami,https://facebook.com/RepAmiBera,RepBera,https://twitter.com/RepBera,https://cdn.civil.services/us-house/headshots/512x512/ami-bera.jpg
Indiana,indiana,IN,in,7,representative,democrat,André Carson,andre-carson,André,,Carson,,,male,african-american,muslim,10/16/1974,3/13/2008,1/3/2023,https://carson.house.gov,https://carson.house.gov/contact/email-me,https://facebook.com/CongressmanAndreCarson,RepAndreCarson,https://twitter.com/RepAndreCarson,https://cdn.civil.services/us-house/headshots/512x512/andre-carson.jpg
New York,new-york,NY,ny,2,representative,republican,Andrew Garbarino,andrew-garbarino,Andrew,,Garbarino,,,male,white-american,catholic,9/27/1984,1/3/2021,1/3/2023,https://garbarino.house.gov,https://garbarino.house.gov/contact,https://facebook.com/RepAndrewGarbarino,RepGarbarino,https://twitter.com/RepGarbarino,https://cdn.civil.services/us-house/headshots/512x512/andrew-garbarino.jpg
Kentucky,kentucky,KY,ky,6,representative,republican,Andy Barr,andy-barr,Andy,,Barr,,,male,white-american,episcopalian,7/24/1973,1/3/2013,1/3/2023,https://barr.house.gov,https://barr.house.gov/contact/email-me,https://facebook.com/RepAndyBarr,RepAndyBarr,https://twitter.com/RepAndyBarr,https://cdn.civil.services/us-house/headshots/512x512/andy-barr.jpg
Arizona,arizona,AZ,az,5,representative,republican,Andy Biggs,andy-biggs,Andy,,Biggs,,,male,white-american,mormon,11/7/1958,1/3/2017,1/3/2023,https://biggs.house.gov,https://biggs.house.gov/contact,https://facebook.com/RepAndyBiggs,RepAndyBiggsAZ,https://twitter.com/RepAndyBiggsAZ,https://cdn.civil.services/us-house/headshots/512x512/andy-biggs.jpg
Maryland,maryland,MD,md,1,representative,republican,Andy Harris,andy-harris,Andy,,Harris,,,male,white-american,roman-catholic,1/25/1957,1/5/2011,1/3/2023,https://harris.house.gov,https://harris.house.gov/contact-me,https://facebook.com/AndyHarrisMD,RepAndyHarrisMD,https://twitter.com/RepAndyHarrisMD,https://cdn.civil.services/us-house/headshots/512x512/andy-harris.jpg
Michigan,michigan,MI,mi,9,representative,democrat,Andy Levin,andy-levin,Andy,,Levin,,,male,white-american,unspecified,8/10/1960,1/3/2019,1/3/2023,https://andylevin.house.gov,https://andylevin.house.gov/contact,https://facebook.com/HouseDemocrats,RepAndyLevin,https://twitter.com/housedemocrats,https://cdn.civil.services/us-house/headshots/512x512/andy-levin.jpg
Minnesota,minnesota,MN,mn,2,representative,democrat,Angie Craig,angie-craig,Angie,,Craig,,,female,white-american,unspecified,2/14/1972,1/3/2019,1/3/2023,https://craig.house.gov,https://craig.house.gov/contact,https://facebook.com/HouseDemocrats,AngieCraigMN,https://twitter.com/housedemocrats,https://cdn.civil.services/us-house/headshots/512x512/angie-craig.jpg
Arizona,arizona,AZ,az,2,representative,democrat,Ann Kirkpatrick,ann-kirkpatrick,Ann,,Kirkpatrick,,,female,white-american,unspecified,3/24/1950,1/3/2019,1/3/2023,https://kirkpatrick.house.gov,https://kirkpatrick.house.gov/contact/email-me,https://facebook.com/KirkpatrickforCongress,Ann_Kirkpatrick,https://twitter.com/Ann_Kirkpatrick,https://cdn.civil.services/us-house/headshots/512x512/ann-kirkpatrick.jpg
Missouri,missouri,MO,mo,2,representative,republican,Ann Wagner,ann-wagner,Ann,,Wagner,,,female,white-american,roman-catholic,9/13/1962,1/3/2013,1/3/2023,https://wagner.house.gov,https://wagner.house.gov/contact/email-me,https://facebook.com/RepAnnWagner,RepAnnWagner,https://twitter.com/RepAnnWagner,https://cdn.civil.services/us-house/headshots/512x512/ann-wagner.jpg
California,california,CA,ca,18,representative,democrat,Anna Eshoo,anna-eshoo,Anna,G.,Eshoo,,,female,white-american,roman-catholic,12/13/1942,1/5/1993,1/3/2023,https://eshoo.house.gov,https://eshoo.house.gov/contact,https://facebook.com/RepAnnaEshoo,RepAnnaEshoo,https://twitter.com/RepAnnaEshoo,https://cdn.civil.services/us-house/headshots/512x512/anna-eshoo.jpg
New Hampshire,new-hampshire,NH,nh,2,representative,democrat,Annie Kuster,annie-kuster,Annie,,Kuster,,Ann,female,white-american,episcopalian,9/5/1956,1/3/2013,1/3/2023,https://kuster.house.gov,https://kuster.house.gov/contact/email-me,https://facebook.com/CongresswomanAnnieKuster,RepAnnieKuster,https://twitter.com/RepAnnieKuster,https://cdn.civil.services/us-house/headshots/512x512/annie-kuster.jpg
