state_name,state_name_slug,state_code,state_code_slug,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,gender,ethnicity,religion,date_of_birth,entered_office,term_end,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
Alaska,alaska,AK,ak,senator,republican,Daniel Sullivan,daniel-sullivan,Daniel,,Sullivan,,Dan,male,white-american,roman-catholic,11/13/1964,1/3/2015,1/3/2027,http://www.sullivan.senate.gov,https://www.sullivan.senate.gov/contact/email,https://facebook.com/SenDanSullivan,SenDanSullivan,https://twitter.com/SenDanSullivan,https://cdn.civil.services/us-senate/headshots/512x512/daniel-sullivan.jpg
Alaska,alaska,AK,ak,senator,republican,Lisa Murkowski,lisa-murkowski,Lisa,,Murkowski,,,female,white-american,roman-catholic,5/22/1957,12/20/2002,1/3/2023,http://www.murkowski.senate.gov,https://www.murkowski.senate.gov/public/index.cfm/contact,https://facebook.com/SenLisaMurkowski,lisamurkowski,https://twitter.com/lisamurkowski,https://cdn.civil.services/us-senate/headshots/512x512/lisa-murkowski.jpg
Alabama,alabama,AL,al,senator,republican,Tommy Tuberville,tommy-tuberville,Tommy,Hawley,Tuberville,,,male,white-american,christian,9/18/1954,1/3/2021,1/3/2027,https://www.tuberville.senate.gov,https://www.tuberville.senate.gov/,https://facebook.com/SenatorTuberville/,SenTuberville,https://twitter.com/SenTuberville,https://cdn.civil.services/us-senate/headshots/512x512/tommy-tuberville.jpg
Alabama,alabama,AL,al,senator,republican,Richard  Shelby,richard-shelby,Richard ,C.,Shelby,,,male,white-american,presbyterian,5/6/1934,1/3/1987,1/3/2023,http://www.shelby.senate.gov,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,https://facebook.com/RichardShelby,SenShelby,https://twitter.com/SenShelby,https://cdn.civil.services/us-senate/headshots/512x512/richard-shelby.jpg
Arkansas,arkansas,AR,ar,senator,republican,John Boozman,john-boozman,John,,Boozman,,,male,white-american,southern-baptist,12/10/1950,1/3/2011,1/3/2023,http://www.boozman.senate.gov,https://www.boozman.senate.gov/public/index.cfm/contact,https://facebook.com/JohnBoozman,JohnBoozman,https://twitter.com/JohnBoozman,https://cdn.civil.services/us-senate/headshots/512x512/john-boozman.jpg
Arkansas,arkansas,AR,ar,senator,republican,Tom Cotton,tom-cotton,Tom,,Cotton,,,male,white-american,methodist,5/13/1977,1/3/2015,1/3/2027,http://www.cotton.senate.gov,https://www.cotton.senate.gov/?p=contact,https://facebook.com/SenatorTomCotton,sentomcotton,https://twitter.com/sentomcotton,https://cdn.civil.services/us-senate/headshots/512x512/tom-cotton.jpg
Arizona,arizona,AZ,az,senator,democrat,Kyrsten Sinema,kyrsten-sinema,Kyrsten,,Sinema,,,female,white-american,unspecified,7/12/1976,1/3/2019,1/3/2025,https://www.sinema.senate.gov/,https://www.senate.gov/senators/116thCongress/SinemaKyrsten.htm,https://facebook.com/KyrstenSinema,kyrstensinema,https://twitter.com/kyrstensinema,https://cdn.civil.services/us-senate/headshots/512x512/kyrsten-sinema.jpg
Arizona,arizona,AZ,az,senator,democrat,Mark Kelly,mark-kelly,Mark,,Kelly,,,male,white-american,unspecified,2/21/1964,12/2/2020,1/3/2023,https://www.kelly.senate.gov,https://www.kelly.senate.gov/,https://facebook.com/SenMarkKelly/,SenMarkKelly,https://twitter.com/SenMarkKelly,https://cdn.civil.services/us-senate/headshots/512x512/mark-kelly.jpg
California,california,CA,ca,senator,democrat,Dianne Feinstein,dianne-feinstein,Dianne,,Feinstein,,,female,white-american,jewish,6/22/1933,11/10/1992,1/3/2019,http://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,https://facebook.com/SenatorFeinstein,SenFeinstein,https://twitter.com/SenFeinstein,https://cdn.civil.services/us-senate/headshots/512x512/dianne-feinstein.jpg
California,california,CA,ca,senator,democrat,Alejandro Padilla,alejandro-padilla,Alejandro,,Padilla,,Alex,male,hispanic-american,catholic,3/22/1973,1/20/2021,1/3/2027,https://www.padilla.senate.gov/,https://www.padilla.senate.gov/,https://facebook.com/SenAlexPadilla/,SenAlexPadilla,https://twitter.com/SenAlexPadilla,https://cdn.civil.services/us-senate/headshots/512x512/alejandro-padilla.jpg
Colorado,colorado,CO,co,senator,democrat,John Hickenlooper,john-hickenlooper,John,Wright,Hickenlooper,Jr.,,male,white-american,unspecified,2/7/1952,1/3/2021,1/3/2027,https://www.hickenlooper.senate.gov/,https://www.hickenlooper.senate.gov,,SenatorHick,https://twitter.com/SenatorHick,https://cdn.civil.services/us-senate/headshots/512x512/john-hickenlooper.jpg
Colorado,colorado,CO,co,senator,democrat,Michael  Bennet,michael-bennet,Michael ,F.,Bennet,,,male,white-american,unspecified,11/28/1964,1/21/2009,1/3/2023,http://www.bennet.senate.gov,https://www.bennet.senate.gov/?p=contact,https://facebook.com/SenatorBennet,SenatorBennet,https://twitter.com/SenatorBennet,https://cdn.civil.services/us-senate/headshots/512x512/michael-bennet.jpg
Connecticut,connecticut,CT,ct,senator,democrat,Christopher Murphy,christopher-murphy,Christopher,,Murphy,,Chris,male,white-american,protestant,8/3/1973,1/3/2013,1/3/2019,http://www.murphy.senate.gov,https://www.murphy.senate.gov/contact,https://facebook.com/ChrisMurphyCT,ChrisMurphyCT,https://twitter.com/ChrisMurphyCT,https://cdn.civil.services/us-senate/headshots/512x512/christopher-murphy.jpg
Connecticut,connecticut,CT,ct,senator,democrat,Richard Blumenthal,richard-blumenthal,Richard,,Blumenthal,,Dick,male,white-american,jewish,2/13/1946,1/5/2011,1/3/2023,http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,https://facebook.com/SenBlumenthal,SenBlumenthal,https://twitter.com/SenBlumenthal,https://cdn.civil.services/us-senate/headshots/512x512/richard-blumenthal.jpg
Delaware,delaware,DE,de,senator,democrat,Christopher Coons,christopher-coons,Christopher,A.,Coons,,Chris,male,white-american,presbyterian,9/9/1963,11/15/2010,1/3/2027,http://www.coons.senate.gov,https://www.coons.senate.gov/contact,https://facebook.com/senatorchriscoons,ChrisCoons,https://twitter.com/ChrisCoons,https://cdn.civil.services/us-senate/headshots/512x512/christopher-coons.jpg
Delaware,delaware,DE,de,senator,democrat,Thomas Carper,thomas-carper,Thomas,R.,Carper,,Tom,male,white-american,presbyterian,1/23/1947,1/3/2001,1/3/2019,http://www.carper.senate.gov,https://www.carper.senate.gov/public/index.cfm/email-senator-carper,https://facebook.com/tomcarper,SenatorCarper,https://twitter.com/SenatorCarper,https://cdn.civil.services/us-senate/headshots/512x512/thomas-carper.jpg
Florida,florida,FL,fl,senator,republican,Rick Scott,rick-scott,Rick,,Scott,,,male,white-american,unspecified,12/1/1952,1/3/2019,1/3/2025,https://www.rickscott.senate.gov,https://www.rickscott.senate.gov/contact_rick,https://facebook.com/RickScottSenOffice,SenRickScott,https://twitter.com/SenRickScott,https://cdn.civil.services/us-senate/headshots/512x512/rick-scott.jpg
Florida,florida,FL,fl,senator,republican,Marco Rubio,marco-rubio,Marco,,Rubio,,,male,hispanic-american,roman-catholic,5/28/1971,1/3/2011,1/3/2023,http://www.rubio.senate.gov,https://www.rubio.senate.gov/public/index.cfm/contact,https://facebook.com/SenatorMarcoRubio,marcorubio,https://twitter.com/marcorubio,https://cdn.civil.services/us-senate/headshots/512x512/marco-rubio.jpg
Georgia,georgia,GA,ga,senator,democrat,Jon Ossoff,jon-ossoff,Jon,,Ossoff,,,male,white-american,jewish,2/16/1987,1/20/2021,1/3/2027,https://www.ossoff.senate.gov/,https://www.ossoff.senate.gov/contact/,https://facebook.com/SenOssoff,SenOssoff,https://twitter.com/SenOssoff,https://cdn.civil.services/us-senate/headshots/512x512/jon-ossoff.jpg
Georgia,georgia,GA,ga,senator,democrat,Raphael Warnock,raphael-warnock,Raphael,Gamaliel,Warnock,,,male,african-american,baptist,7/23/1969,1/20/2021,1/3/2027,https://www.warnock.senate.gov/,https://www.warnock.senate.gov/,https://facebook.com/SenatorWarnock,SenatorWarnock,https://twitter.com/SenatorWarnock,https://cdn.civil.services/us-senate/headshots/512x512/raphael-warnock.jpg
Hawaii,hawaii,HI,hi,senator,democrat,Brian Schatz,brian-schatz,Brian,,Schatz,,,male,white-american,jewish,10/20/1972,12/26/2012,1/3/2023,http://www.schatz.senate.gov,https://www.schatz.senate.gov/contact,https://facebook.com/SenBrianSchatz,brianschatz,https://twitter.com/brianschatz,https://cdn.civil.services/us-senate/headshots/512x512/brian-schatz.jpg
Hawaii,hawaii,HI,hi,senator,democrat,Mazie Hirono,mazie-hirono,Mazie,K.,Hirono,,,female,asian-american,buddhism,11/3/1947,1/3/2013,1/3/2019,http://www.hirono.senate.gov,https://www.hirono.senate.gov/contact,https://facebook.com/senatorhirono,maziehirono,https://twitter.com/maziehirono,https://cdn.civil.services/us-senate/headshots/512x512/mazie-hirono.jpg
Iowa,iowa,IA,ia,senator,republican,Charles Grassley,charles-grassley,Charles,,Grassley,,Chuck,male,white-american,baptist,9/17/1933,1/3/1981,1/3/2023,http://www.grassley.senate.gov,https://www.grassley.senate.gov/contact,https://facebook.com/grassley,ChuckGrassley,https://twitter.com/ChuckGrassley,https://cdn.civil.services/us-senate/headshots/512x512/charles-grassley.jpg
Iowa,iowa,IA,ia,senator,republican,Joni Ernst,joni-ernst,Joni,,Ernst,,,female,white-american,lutheran,7/1/1970,1/3/2015,1/3/2027,http://www.ernst.senate.gov,https://www.ernst.senate.gov/public/index.cfm/contact,https://facebook.com/joniforiowa,joniernst,https://twitter.com/joniernst,https://cdn.civil.services/us-senate/headshots/512x512/joni-ernst.jpg
Idaho,idaho,ID,id,senator,republican,James Risch,james-risch,James,E.,Risch,,Jim,male,white-american,roman-catholic,5/3/1943,1/3/2009,1/3/2027,http://www.risch.senate.gov,https://www.risch.senate.gov/public/index.cfm?p=Email,https://facebook.com/SenatorRisch,SenatorRisch,https://twitter.com/SenatorRisch,https://cdn.civil.services/us-senate/headshots/512x512/james-risch.jpg
Idaho,idaho,ID,id,senator,republican,Mike Crapo,mike-crapo,Mike,,Crapo,,,male,white-american,mormon,5/20/1951,1/3/1999,1/3/2023,http://www.crapo.senate.gov,https://www.crapo.senate.gov/contact/email.cfm,https://facebook.com/mikecrapo,MikeCrapo,https://twitter.com/MikeCrapo,https://cdn.civil.services/us-senate/headshots/512x512/mike-crapo.jpg
Illinois,illinois,IL,il,senate-minority-whip,democrat,Richard Durbin,richard-durbin,Richard,J.,Durbin,,Dick,male,white-american,roman-catholic,11/21/1944,1/3/1997,1/3/2027,http://www.durbin.senate.gov,https://www.durbin.senate.gov/contact/,https://facebook.com/SenatorDurbin,SenatorDurbin,https://twitter.com/SenatorDurbin,https://cdn.civil.services/us-senate/headshots/512x512/richard-durbin.jpg
